Ticker;Entreprise
ACA.PA;Crédit Agricole
AI.PA;Air Liquide
AIR.PA;Airbus
ALO.PA;Alstom
BN.PA;Danone
BNP.PA;BNP Paribas
CA.PA;Carrefour
CAP.PA;Capgemini
CS.PA;AXA
DG.PA;Vinci
DSY.PA;Dassault Systèmes
EL.PA;EssilorLuxottica
EN.PA;Bouygues
ENGI.PA;Engie
ERF.PA;Eurofins Scientific
GLE.PA;Société Générale
HO.PA;Thales
KER.PA;Kering
LR.PA;Legrand
MC.PA;LVMH
ML.PA;Michelin
MT.AS;ArcelorMittal
OR.PA;L'Oréal
ORA.PA;Orange
PUB.PA;Publicis
RI.PA;Pernod Ricard
RMS.PA;Hermès
RNO.PA;Renault
SAF.PA;Safran
SAN.PA;Sanofi
SGO.PA;Saint-Gobain
STMPA.PA;STMicroelectronics
SU.PA;Schneider Electric
TEP.PA;Teleperformance
TTE.PA;TotalEnergies
VIE.PA;Veolia
VIV.PA;Vivendi
WLN.PA;Worldline
STLAP.PA;Stellantis
URW.PA;N/A
